Genere,LuogoAccadimento
M,Firenze
M,Firenze
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
F,Lucca
M,Lucca
F,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
M,Prato
M,Prato
M,Prato
F,Prato
M,Prato
M,Prato
F,Prato
M,Prato
F,Prato
F,Prato
M,Prato
F,Prato
M,Siena
M,Siena
F,Siena
F,Siena
F,Siena
F,Siena
F,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
F,Siena
M,Siena
F,Siena
F,Siena
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Grosseto
F,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
F,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Prato
M,Prato
M,Prato
F,Prato
F,Prato
M,Prato
M,Prato
M,Prato
M,Prato
F,Prato
M,Prato
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
F,Siena
M,Siena
M,Siena
M,Siena
F,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
F,Grosseto
F,Grosseto
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pisa
F,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
F,Prato
M,Prato
M,Prato
F,Prato
M,Prato
M,Prato
F,Prato
M,Prato
F,Prato
F,Prato
M,Prato
F,Prato
F,Prato
F,Prato
F,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
F,Siena
M,Siena
M,Siena
M,Siena
M,Siena
F,Siena
M,Siena
M,Siena
F,Siena
M,Siena
F,Siena
M,Siena
M,Siena
M,Siena
M,Siena
F,Siena
F,Siena
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Siena
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Siena
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
F,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
F,Livorno
F,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
M,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
F,Pistoia
F,Pistoia
F,Prato
M,Prato
F,Prato
F,Prato
M,Prato
M,Prato
F,Prato
F,Prato
M,Prato
F,Prato
F,Prato
M,Prato
F,Prato
M,Prato
M,Prato
M,Prato
F,Prato
F,Prato
M,Prato
F,Prato
F,Prato
F,Prato
M,Prato
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
M,Siena
F,Siena
F,Siena
F,Siena
F,Siena
F,Siena
F,Siena
F,Siena
M,Siena
M,Siena
F,Siena
M,Siena
M,Siena
F,Siena
F,Siena
F,Siena
F,Siena
F,Siena
F,Siena
M,Siena
F,Siena
F,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Livorno
M,Livorno
F,Livorno
F,Livorno
F,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Prato
F,Prato
M,Prato
F,Prato
M,Prato
M,Prato
F,Prato
M,Prato
F,Prato
M,Prato
M,Prato
M,Prato
M,Siena
F,Siena
M,Siena
F,Siena
M,Siena
M,Siena
M,Siena
F,Siena
M,Siena
F,Siena
M,Siena
M,Siena
F,Siena
M,Siena
M,Siena
F,Siena
M,Siena
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
F,Grosseto
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
F,Prato
M,Prato
F,Prato
M,Prato
M,Prato
F,Prato
M,Prato
F,Prato
F,Prato
M,Prato
M,Prato
F,Prato
F,Siena
M,Siena
M,Siena
F,Siena
M,Siena
F,Siena
F,Siena
F,Siena
M,Siena
F,Siena
F,Siena
M,Siena
F,Siena
F,Siena
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
F,Massa-Carrara
F,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pistoia
M,Pistoia
M,Pistoia
M,Prato
M,Prato
M,Prato
M,Prato
M,Prato
M,Prato
F,Prato
M,Prato
M,Prato
M,Prato
M,Prato
M,Prato
M,Prato
F,Siena
F,Siena
M,Siena
F,Siena
M,Siena
M,Siena
M,Siena
M,Siena
F,Siena
F,Siena
M,Siena
M,Siena
F,Siena
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
F,Lucca
M,Lucca
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
M,Pistoia
F,Pistoia
F,Pistoia
M,Pistoia
M,Pistoia
M,Prato
M,Prato
M,Prato
F,Prato
M,Prato
M,Prato
M,Prato
F,Prato
F,Prato
F,Siena
M,Siena
F,Siena
M,Siena
F,Siena
M,Siena
M,Siena
F,Siena
M,Siena
M,Siena
F,Siena
F,Siena
F,Siena
M,Siena
M,Siena
F,Siena
M,Siena
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Pisa
M,Prato
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
M,Livorno
M,Prato
F,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
F,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Arezzo
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
F,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
F,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Firenze
M,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
M,Grosseto
F,Grosseto
M,Grosseto
F,Grosseto
F,Grosseto
M,Livorno
F,Livorno
F,Livorno
F,Livorno
F,Livorno
F,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
F,Livorno
F,Livorno
F,Livorno
F,Livorno
M,Livorno
M,Livorno
F,Livorno
M,Livorno
M,Livorno
M,Livorno
M,Livorno
M,Lucca
F,Lucca
F,Lucca
F,Lucca
F,Lucca
M,Lucca
F,Lucca
F,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
F,Lucca
M,Lucca
M,Lucca
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Massa-Carrara
M,Massa-Carrara
M,Massa-Carrara
F,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pisa
M,Pisa
F,Pisa
M,Pisa
F,Pisa
M,Pisa
M,Pisa
F,Pisa
F,Pisa
F,Pisa
M,Pisa
F,Pisa
F,Pisa
M,Pisa
M,Pisa
M,Pistoia
M,Pistoia
M,Pistoia
F,Pistoia
